period,nerc.region,demand.mwh,SO2
2020-01-29T11,RFC,182968,0
2020-01-29T12,RFC,198936,0
2020-01-29T13,RFC,208362,0
2020-01-29T14,RFC,208150,0
2020-01-29T15,RFC,205130,0
2020-01-29T16,RFC,201184,0
2020-01-29T17,RFC,196454,0
2020-01-29T18,RFC,192926,0
2020-01-29T19,RFC,190816,0
2020-01-29T20,RFC,189830,0
2020-01-29T21,RFC,190086,0
2020-01-29T22,RFC,194368,0
2020-01-29T23,RFC,204010,0
2020-01-30T00,RFC,210466,0
2020-01-30T01,RFC,209902,0
2020-01-30T02,RFC,207774,0
2020-01-30T03,RFC,201776,0
2020-01-30T04,RFC,193454,0
2020-01-30T05,RFC,188440,0
2020-01-30T06,RFC,184800,0
2020-01-30T07,RFC,181548,0
2020-01-30T08,RFC,182294,0
2020-01-30T09,RFC,184338,0
2020-01-30T10,RFC,185136,0.024
2020-01-30T11,RFC,193612,0
2020-01-30T12,RFC,209410,0
2020-01-30T13,RFC,218310,0
2020-01-30T14,RFC,215624,0
2020-01-30T15,RFC,210030,0
2020-01-30T16,RFC,205294,0
2020-01-30T17,RFC,200590,0
2020-01-30T18,RFC,197120,0
2020-01-30T19,RFC,194774,0
2020-01-30T20,RFC,193698,0
2020-01-30T21,RFC,194646,0
2020-01-30T22,RFC,197824,0
2020-01-30T23,RFC,205954,0
2020-01-31T00,RFC,211640,0
2020-01-31T01,RFC,211066,0
2020-01-31T02,RFC,208364,0
2020-01-31T03,RFC,201720,0
2020-01-31T04,RFC,192784,0
2020-01-31T05,RFC,186646,0
2020-01-31T06,RFC,181390,0
2020-01-31T07,RFC,178302,0
2020-01-31T08,RFC,177154,0
2020-01-31T09,RFC,177596,0
2020-01-31T10,RFC,179144,0
2020-01-31T11,RFC,185674,0
2020-01-31T12,RFC,200874,0
2020-01-31T13,RFC,209982,0
2020-01-31T14,RFC,208656,0
2020-01-31T15,RFC,205018,0
2020-01-31T16,RFC,201160,0
2020-01-31T17,RFC,198022,0
2020-01-31T18,RFC,194652,0
2020-01-31T19,RFC,192498,0
2020-01-31T20,RFC,191062,0
2020-01-31T21,RFC,190668,0
2020-01-31T22,RFC,192966,0
2020-01-31T23,RFC,198638,0
2020-02-01T00,RFC,200820,0
2020-02-01T01,RFC,197904,0
2020-02-01T02,RFC,194144,0
2020-02-01T03,RFC,189080,0
2020-02-01T04,RFC,181806,0
2020-02-01T05,RFC,175554,0
2020-02-01T06,RFC,169982,0
2020-02-01T07,RFC,167048,0
2020-02-01T08,RFC,166580,0
2020-02-01T09,RFC,167554,0
2020-02-01T10,RFC,167828,0
2020-02-01T11,RFC,168900,0
2020-02-01T12,RFC,174032,0
2020-02-01T13,RFC,179478,0
2020-02-01T14,RFC,184350,0
2020-02-01T15,RFC,186354,0
2020-02-01T16,RFC,185490,0
2020-02-01T17,RFC,182860,0
2020-02-01T18,RFC,179262,0
2020-02-01T19,RFC,175874,0
2020-02-01T20,RFC,174228,0
2020-02-01T21,RFC,175910,0
2020-02-01T22,RFC,177000,0
2020-02-01T23,RFC,183238,0
2020-02-02T00,RFC,186584,0
2020-02-02T01,RFC,185152,0
2020-02-02T02,RFC,182778,0
